state,city,klan_number,nickname,latitude,longitude,year
Alabama,Birmingham,1,R. E. Lee Klan,33.5206608,-86.80249,1924
Alabama,Bessemer,2,Niles Burnett Klan,33.4017766,-86.954437,1926
Alabama,Montgomery,3,Not Named,32.3668052,-86.2999689,1923
Alabama,Anniston,4,Not Named,33.6598257,-85.8316318,1924
Alabama,Birmingham,6,Nathan Bedford Forrest Klan,33.5206608,-86.80249,1924
Alabama,Huntsville,9,Not Named,34.7303688,-86.5861037,1931
Alabama,Mobile,11,Not Named,30.6953657,-88.0398912,1931
Alabama,Stevenson,12,Not Named,34.8686932,-85.8394199,1923
Alabama,Tuscaloosa,14,Jack Jolly Klan,33.2098407,-87.5691735,1923
Alabama,Sumpter,24,Not Named,32.6155551,-88.2461183,1924
Alabama,Ensley,31,Not Named,33.5089695,-86.8997918,1924
Alabama,Vincent,34,Not Named,33.3845537,-86.411924,1923
Alabama,Jasper,43,Joe Wheeler Klan,33.8312185,-87.2775053,1926
Alabama,Luverne,51,Not Named,31.7165455,-86.2638492,1923
Alabama,Louisville,57,Not Named,31.7834963,-85.5557751,1923
Alabama,Birmingham,59,Avondale Park Klan,33.5206608,-86.80249,1923
Alabama,Birmingham,60,Nathan Bedford Forrest Klan,33.5206608,-86.80249,1923
Alabama,Sheffield,63,Stonewall Jackson Klan,34.7650887,-87.6986407,1923
Alabama,Oneonta,66,Not Named,33.9481537,-86.472764,1923
Alabama,Eufala,68,Not Named,31.8912717,-85.1454876,1924
Alabama,Akron,71,Not Named,32.8765165,-87.7425105,1923
Alabama,Florence,73,Not Named,34.79981,-87.677251,1923
Alabama,Phoenix City,77,Not Named,32.4709761,-85.0007653,1923
Alabama,Auburn,84,James H. Lane Klan,32.6098566,-85.4807825,1923
Alabama,Athens,86,Not Named,34.8028661,-86.9716741,1923
Alabama,Scottsboro,92,Not Named,34.6723069,-86.0341463,1924
Alabama,Mobile,108,Not Named,30.6953657,-88.0398912,1924
Alabama,Collinsville,125,Not Named,34.2639821,-85.8605251,1931
Alabama,Pisgah,133,Not Named,34.685022,-85.846575,1924
Alabama,Edwardsville,141,Hopewell Klan,33.7073272,-85.5091235,1929
Alabama,Florala,144,Not Named,31.007712,-86.324957,1925
Alabama,Foley,186,Not Named,30.4065868,-87.6835974,1929
Alabama,Bessemer,0,Miles Burnett Klan,33.4017766,-86.954437,1924
Alabama,Birmingham,1,Not Named,33.5206608,-86.80249,1916
Alabama,Montgomery,3,Not Named,32.3668052,-86.2999689,1918
Alabama,Anniston,4,Not Named,33.6598257,-85.8316318,1919
Alabama,Guntersville,41,Marshall County Klan,34.3705827,-86.3853327,1925
Alabama,Tuskegee,81,Cullen A. Battle Klan ,32.4520234,-85.7852334,1920
